order_number,product_name,variant_name,quantity,unit_price,subtotal
ORD-240727-46450,Coco Lumber,2x2x12 (Per Piece),2,72.00,144.00
ORD-240727-05730,Tekscrew,"1"" (Per Piece)",68,2.00,136.00
ORD-240727-05730,Neltex Sanitary PVC Pipe S600,"4"" x 3m",3,608.00,1824.00
ORD-240727-20556,Boysen Permacoat Flat Latex White,4 Liters,1,795.00,795.00
ORD-240727-20556,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240727-20556,Plywood Ordinary,3/4 (4x8ft),3,710.00,2130.00
ORD-240727-20556,Longspan RIB22,12ft (0.5mm),1,722.00,722.00
ORD-240728-03785,Deformed Bar G33,9mm x 6m,4,75.00,300.00
ORD-240728-24906,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",9,32.00,288.00
ORD-240728-24906,Tekscrew,"1"" (Per Piece)",100,2.00,200.00
ORD-240728-14825,Lucky PPR Elbow Female 1/2,,24,29.00,696.00
ORD-240728-14825,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240729-80681,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240729-80681,Good Lumber S4S,2x6 per Board Foot,10,65.00,650.00
ORD-240730-31878,Lucky PPR Elbow Female 1/2,,20,29.00,580.00
ORD-240730-31878,Tubular Bar GI,"1"" x 1"" (20ft) 1.0mm",4,270.00,1080.00
ORD-240730-91506,Tekscrew,"2.5"" (Per Piece)",31,3.50,108.50
ORD-240730-91506,"Hardiflex Screw 1""",,71,2.50,177.50
ORD-240730-91506,White Sand,,10,48.00,480.00
ORD-240730-66967,Boysen Lacquer Thinner B50,4 Liters,1,875.00,875.00
ORD-240730-66967,Concrete Hollow Block,"4"" CHB (Per Piece)",13,12.00,156.00
ORD-240730-66967,Tekscrew,"1"" (Per Piece)",78,2.00,156.00
ORD-240730-42013,Longspan RIB22,10ft (0.5mm),2,602.00,1204.00
ORD-240730-42013,Boysen Permacoat Flat Latex White,16 Liters (1 Pail),1,2850.00,2850.00
ORD-240731-32204,Nihonweld Welding Rod N6013,"1/8"" (3.2mm) 5kg pack",2,616.00,1232.00
ORD-240731-32204,Longspan RIB22,16ft (0.4mm),3,708.00,2124.00
ORD-240731-71846,W-Clip,,95,2.00,190.00
ORD-240731-71846,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",3,32.00,96.00
ORD-240731-71846,Deformed Bar G33,12mm x 6m,5,130.00,650.00
ORD-240731-71846,Neltex Electrical Pipe Thinwall,"3/4"" Per Piece",3,48.00,144.00
ORD-240731-40352,Concrete Hollow Block,"6"" CHB (Per Piece)",12,16.00,192.00
ORD-240731-40352,"Hardiflex Screw 1""",,47,2.50,117.50
ORD-240731-40352,Longspan RIB22,12ft (0.4mm),1,531.00,531.00
ORD-240731-15070,W-Clip,,19,2.00,38.00
ORD-240731-15070,Royu THHN Wire 8.0mm,Red (Per Box 75m),1,5200.00,5200.00
ORD-240731-15070,Tekscrew,"2.5"" (Per Piece)",54,3.50,189.00
ORD-240731-15070,Tekscrew,"2"" (Per Piece)",20,3.00,60.00
ORD-240801-84042,Tox,#8 Tox (Per Box),7,48.00,336.00
ORD-240801-84042,Longspan RIB22,10ft (0.4mm),1,443.00,443.00
ORD-240801-84042,Neltex Electrical Pipe Thinwall,"3/4"" Per Piece",1,48.00,48.00
ORD-240801-15279,Concrete Nail,"2"" (Per Kilo)",6,120.00,720.00
ORD-240801-15279,Good Lumber S4S,2x3 per Board Foot,11,62.00,682.00
ORD-240801-08571,Concrete Hollow Block,"6"" CHB (Per Piece)",9,16.00,144.00
ORD-240801-55945,Tekscrew,"2.5"" (Per Piece)",44,3.50,154.00
ORD-240801-55945,Lucky PPR Elbow Female 1/2,,21,29.00,609.00
ORD-240801-84928,Coco Lumber,2x4x10 (Per Piece),5,120.00,600.00
ORD-240801-84928,Boysen Lacquer Thinner B50,4 Liters,3,875.00,2625.00
ORD-240802-02221,KD S4S Wood PL,2x2 per Board Foot,8,72.00,576.00
ORD-240802-02221,Deformed Bar G40,12mm x 6m,5,165.00,825.00
ORD-240802-35901,Coco Lumber,2x2x8 (Per Piece),2,48.00,96.00
ORD-240802-35901,Nihonweld Welding Rod N6013,"5/32"" (4.0mm) per kg",4,175.00,700.00
ORD-240802-35901,Royu THHN Wire 8.0mm,White (Per Box 75m),1,5200.00,5200.00
ORD-240802-35901,Tox,#8 Tox (Per Box),5,48.00,240.00
ORD-240802-04088,Boysen Permacoat Flat Latex White,1 Liter,5,225.00,1125.00
ORD-240802-04088,Camel Drawer Lock,,7,85.00,595.00
ORD-240803-13072,W-Clip,,35,2.00,70.00
ORD-240803-13072,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240803-13072,Good Lumber S4S,1x2 per Board Foot,2,62.00,124.00
ORD-240803-13072,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",9,32.00,288.00
ORD-240803-13072,Tekscrew,"2.5"" (Per Piece)",56,3.50,196.00
ORD-240804-08569,Boysen Permacoat Flat Latex White,4 Liters,3,795.00,2385.00
ORD-240804-08569,Gravel 3/4,,11,52.00,572.00
ORD-240805-24406,Common Wire Nail,"2"" (Per Kilo)",2,60.00,120.00
ORD-240805-00796,Tubular Bar GI,"1"" x 1"" (20ft) 1.2mm",2,320.00,640.00
ORD-240805-00796,Tekscrew,"1.5"" (Per Piece)",20,2.50,50.00
ORD-240805-00796,Tekscrew,"3"" (Per Piece)",37,4.00,148.00
ORD-240805-00796,Circuit Breaker Bolt-On,15A,5,258.00,1290.00
ORD-240805-88332,Royu THHN Wire 8.0mm,Red (Per Box 75m),1,5200.00,5200.00
ORD-240805-21735,Neltex PVC Sanitary P-Trap,"4""",6,225.00,1350.00
ORD-240806-05398,Boysen Permacoat Flat Latex White,16 Liters (1 Pail),1,2850.00,2850.00
ORD-240806-05398,Coco Lumber,2x4x10 (Per Piece),3,120.00,360.00
ORD-240806-05398,Royu THHN Wire 8.0mm,Green (Per Box 75m),1,5200.00,5200.00
ORD-240806-05398,Angle Bar,"2"" x 2"" x 3mm (20ft)",1,1100.00,1100.00
ORD-240807-29447,Concrete Hollow Block,"4"" CHB (Per Piece)",21,12.00,252.00
ORD-240807-29447,Coco Lumber,2x2x8 (Per Piece),3,48.00,144.00
ORD-240807-29447,"Hardiflex Screw 1""",,22,2.50,55.00
ORD-240807-29447,Royu THHN Wire 8.0mm,Green (Per Box 75m),1,5200.00,5200.00
ORD-240807-23470,W-Clip,,82,2.00,164.00
ORD-240807-23470,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",6,32.00,192.00
ORD-240807-67483,Tekscrew,"2.5"" (Per Piece)",67,3.50,234.50
ORD-240807-67483,Longspan RIB22,8ft (0.5mm),1,482.00,482.00
ORD-240807-67483,Royu THHN Wire 8.0mm,White (Per Box 75m),1,5200.00,5200.00
ORD-240808-04210,Angle Bar,"1"" x 1"" x 2mm (20ft)",1,360.00,360.00
ORD-240808-04210,Boysen Lacquer Thinner B50,1/4 Liter,9,78.00,702.00
ORD-240808-69431,Black Screw Pointed,"1"" (Per Box 500pcs)",2,210.00,420.00
ORD-240808-69431,Neltex Sanitary PVC Pipe S600,"4"" x 3m",2,608.00,1216.00
ORD-240808-69431,Tox,#8 Tox (Per Box),10,48.00,480.00
ORD-240808-46712,Marine Plywood Local,3/4 (4x8ft),2,920.00,1840.00
ORD-240808-46712,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240809-09360,Tox,#8 Tox (Per Box),12,48.00,576.00
ORD-240809-09360,Black Screw Pointed,"1.5"" (Per Box 500pcs)",4,260.00,1040.00
ORD-240809-09360,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",12,32.00,384.00
ORD-240809-09360,Lucky PPR Elbow Female 1/2,,8,29.00,232.00
ORD-240809-09360,Concrete Hollow Block,"6"" CHB (Per Piece)",7,16.00,112.00
ORD-240809-22198,Coco Lumber,2x2x8 (Per Piece),5,48.00,240.00
ORD-240809-22198,Tekscrew,"1"" (Per Piece)",36,2.00,72.00
ORD-240809-01322,Concrete Nail,"2"" (Per Kilo)",5,120.00,600.00
ORD-240809-01322,White Sand,,7,48.00,336.00
ORD-240809-01322,Black Screw Metal,"2"" (Per Box 500pcs)",3,310.00,930.00
ORD-240809-22440,Concrete Hollow Block,"6"" CHB (Per Piece)",24,16.00,384.00
ORD-240809-22440,Neltex Electrical Pipe Thinwall,"3/4"" Per Piece",9,48.00,432.00
ORD-240809-22440,Tox,#8 Tox (Per Box),9,48.00,432.00
ORD-240809-22440,Black Screw Pointed,"1"" (Per Box 500pcs)",2,210.00,420.00
ORD-240809-22440,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240810-65400,White Sand,,2,48.00,96.00
ORD-240810-65400,Plywood Ordinary,3/4 (4x8ft),3,710.00,2130.00
ORD-240810-65400,KD S4S Wood PL,1x2 per Board Foot,1,72.00,72.00
ORD-240810-65400,C-Purlins GI,"2"" x 4"" x 6m (1.2mm)",1,510.00,510.00
ORD-240810-04529,Good Lumber S4S,2x6 per Board Foot,5,65.00,325.00
ORD-240810-23792,G.I Pipe Local S20,"1.5"" (20ft)",3,615.00,1845.00
ORD-240810-23792,Angle Bar,"3/4"" x 3/4"" x 2mm (20ft)",4,300.00,1200.00
ORD-240811-82628,Tekscrew,"1"" (Per Piece)",20,2.00,40.00
ORD-240811-82628,Boysen Permacoat Flat Latex White,16 Liters (1 Pail),1,2850.00,2850.00
ORD-240811-82628,C-Purlins GI,"2"" x 3"" x 6m (1.0mm)",3,380.00,1140.00
ORD-240812-54665,Longspan RIB22,8ft (0.5mm),3,482.00,1446.00
ORD-240812-74592,Tekscrew,"1"" (Per Piece)",63,2.00,126.00
ORD-240812-74592,Tekscrew,"2"" (Per Piece)",28,3.00,84.00
ORD-240812-74592,G.I Pipe Local S20,"2"" (20ft)",2,940.00,1880.00
ORD-240812-74592,Common Wire Nail,"1.5"" (Per Kilo)",7,62.00,434.00
ORD-240812-74592,Tekscrew,"3"" (Per Piece)",85,4.00,340.00
ORD-240812-97086,Tekscrew,"3"" (Per Piece)",85,4.00,340.00
ORD-240812-97086,Concrete Hollow Block,"4"" CHB (Per Piece)",5,12.00,60.00
ORD-240812-48428,Plywood Ordinary,3/4 (4x8ft),2,710.00,1420.00
ORD-240812-48428,White Sand,,2,48.00,96.00
ORD-240812-48428,Tekscrew,"1"" (Per Piece)",38,2.00,76.00
ORD-240812-38498,Boysen Permacoat Flat Latex White,16 Liters (1 Pail),1,2850.00,2850.00
ORD-240813-55840,Tekscrew,"2"" (Per Piece)",21,3.00,63.00
ORD-240813-55840,Tekscrew,"2.5"" (Per Piece)",91,3.50,318.50
ORD-240813-55840,G.I Pipe Local S20,"1/2"" (20ft)",5,245.00,1225.00
ORD-240813-12348,Tekscrew,"3"" (Per Piece)",62,4.00,248.00
ORD-240813-12348,Wood Screw Flat Head,"1.5"" (Per Kilo)",3,175.00,525.00
ORD-240813-12348,Marine Plywood Local,3/4 (4x8ft),3,920.00,2760.00
ORD-240813-12348,Tekscrew,"2.5"" (Per Piece)",52,3.50,182.00
ORD-240813-12348,Deformed Bar G40,12mm x 6m,1,165.00,165.00
ORD-240813-45352,Common Wire Nail,"2"" (Per Kilo)",3,60.00,180.00
ORD-240813-45352,White Sand,,9,48.00,432.00
ORD-240813-46567,Coco Lumber,2x2x12 (Per Piece),1,72.00,72.00
ORD-240813-46567,Tekscrew,"1"" (Per Piece)",25,2.00,50.00
ORD-240813-46567,Coco Lumber,2x2x10 (Per Piece),9,60.00,540.00
ORD-240813-46567,Coco Lumber,2x3x10 (Per Piece),4,90.00,360.00
ORD-240813-61278,Circuit Breaker Bolt-On,30A,4,268.00,1072.00
ORD-240813-20451,Tubular Bar GI,"2"" x 2"" (20ft) 1.0mm",3,510.00,1530.00
ORD-240814-36584,Neltex Electrical Pipe Thinwall,"3/4"" Per Piece",6,48.00,288.00
ORD-240814-36584,Tekscrew,"3"" (Per Piece)",95,4.00,380.00
ORD-240814-36584,Tekscrew,"2.5"" (Per Piece)",65,3.50,227.50
ORD-240814-73959,Neltex Sanitary PVC Pipe S600,"4"" x 3m",1,608.00,608.00
ORD-240814-73959,Royu THHN Wire 8.0mm,White (Per Box 75m),1,5200.00,5200.00
ORD-240814-73959,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240815-53029,Circuit Breaker Bolt-On,60A,1,378.00,378.00
ORD-240815-53029,Tekscrew,"2.5"" (Per Piece)",19,3.50,66.50
ORD-240815-53029,"Hardiflex Screw 1""",,60,2.50,150.00
ORD-240815-53029,KD S4S Wood PL,2x3 per Board Foot,12,72.00,864.00
ORD-240815-68108,Eagle Cement Advance,,2,260.00,520.00
ORD-240815-68108,White Sand,,5,48.00,240.00
ORD-240815-68108,Longspan RIB22,16ft (0.4mm),2,708.00,1416.00
ORD-240815-10180,Neltex Sanitary PVC Pipe S600,"4"" x 3m",3,608.00,1824.00
ORD-240815-10180,Gravel 3/4,,5,52.00,260.00
ORD-240815-10180,White Sand,,7,48.00,336.00
ORD-240816-10171,Tox,#8 Tox (Per Box),7,48.00,336.00
ORD-240816-10171,Tekscrew,"3"" (Per Piece)",48,4.00,192.00
ORD-240816-10171,Concrete Hollow Block,"6"" CHB (Per Piece)",20,16.00,320.00
ORD-240816-10171,Tekscrew,"1.5"" (Per Piece)",55,2.50,137.50
ORD-240816-10171,Tekscrew,"2.5"" (Per Piece)",22,3.50,77.00
ORD-240816-50286,Marine Plywood Local,1/2 (4x8ft),1,640.00,640.00
ORD-240816-77966,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",5,32.00,160.00
ORD-240816-92399,Metal Furring,25 x 50 (10ft),6,93.00,558.00
ORD-240816-92399,Gardner,,4,295.00,1180.00
ORD-240816-74719,Flat Bar,"2"" x 3mm (20ft)",2,330.00,660.00
ORD-240816-26103,Tubular Bar GI,"1"" x 2"" (20ft) 1.0mm",1,380.00,380.00
ORD-240816-26103,W-Clip,,25,2.00,50.00
ORD-240816-26103,"Hardiflex Screw 1""",,61,2.50,152.50
ORD-240816-30782,Tox,#8 Tox (Per Box),4,48.00,192.00
ORD-240816-61021,Shadow Line,,12,80.00,960.00
ORD-240816-61021,Tekscrew,"2.5"" (Per Piece)",47,3.50,164.50
ORD-240816-61021,Boysen Permacoat Flat Latex White,4 Liters,2,795.00,1590.00
ORD-240816-61021,Coco Lumber,2x2x8 (Per Piece),7,48.00,336.00
ORD-240816-61021,Nihonweld Welding Rod N6013,"5/32"" (4.0mm) per kg",2,175.00,350.00
ORD-240817-01607,Boysen Permacoat Flat Latex White,16 Liters (1 Pail),1,2850.00,2850.00
ORD-240817-01607,Neltex PVC Sanitary P-Trap,"4""",3,225.00,675.00
ORD-240817-01607,"Hardiflex Screw 1""",,97,2.50,242.50
ORD-240817-01607,Boysen Permacoat Flat Latex White,4 Liters,3,795.00,2385.00
ORD-240818-23262,Phenolic Board 18mm,,3,780.00,2340.00
ORD-240818-23262,Coco Lumber,2x2x12 (Per Piece),11,72.00,792.00
ORD-240819-75560,Deformed Bar G33,12mm x 6m,2,130.00,260.00
ORD-240819-49969,C-Purlins GI,"2"" x 4"" x 6m (1.0mm)",2,410.00,820.00
ORD-240819-49969,Concrete Hollow Block,"6"" CHB (Per Piece)",25,16.00,400.00
ORD-240819-49969,Royu THHN Wire 8.0mm,Green (Per Box 75m),1,5200.00,5200.00
ORD-240819-49969,Tekscrew,"2.5"" (Per Piece)",29,3.50,101.50
ORD-240819-49969,Tekscrew,"1"" (Per Piece)",26,2.00,52.00
ORD-240819-44846,Tekscrew,"1.5"" (Per Piece)",69,2.50,172.50
ORD-240819-44846,Circuit Breaker Bolt-On,60A,1,378.00,378.00
ORD-240819-44846,Camel Drawer Lock,,12,85.00,1020.00
ORD-240819-36887,Good Lumber S4S,1x2 per Board Foot,8,62.00,496.00
ORD-240820-66697,W-Clip,,19,2.00,38.00
ORD-240820-66697,Good Lumber S4S,2x3 per Board Foot,6,62.00,372.00
ORD-240820-04302,Concrete Hollow Block,"4"" CHB (Per Piece)",10,12.00,120.00
ORD-240820-12022,Royu THHN Wire 8.0mm,White (Per Box 75m),1,5200.00,5200.00
ORD-240820-12022,Longspan RIB22,8ft (0.5mm),3,482.00,1446.00
ORD-240820-12022,Tox,#8 Tox (Per Box),2,48.00,96.00
ORD-240820-68369,Boysen Lacquer Thinner B50,4 Liters,2,875.00,1750.00
ORD-240820-68369,Plywood Ordinary,3/4 (4x8ft),1,710.00,710.00
ORD-240820-68369,Tekscrew,"2.5"" (Per Piece)",49,3.50,171.50
ORD-240821-02894,Deformed Bar G40,12mm x 6m,4,165.00,660.00
ORD-240821-42906,Tubular Bar GI,"1"" x 1"" (20ft) 1.0mm",3,270.00,810.00
ORD-240821-29520,Concrete Hollow Block,"4"" CHB (Per Piece)",17,12.00,204.00
ORD-240821-29520,Coco Lumber,2x2x8 (Per Piece),3,48.00,144.00
ORD-240821-29520,Tekscrew,"2"" (Per Piece)",20,3.00,60.00
ORD-240821-29520,Phenolic Board 1/2 Croco,,1,620.00,620.00
ORD-240821-29520,Angle Bar,"2"" x 2"" x 3mm (20ft)",1,1100.00,1100.00
ORD-240821-50296,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",12,32.00,384.00
ORD-240821-50296,Phenolic Board 18mm,,3,780.00,2340.00
ORD-240822-39232,Royu THHN Wire 8.0mm,Red (Per Box 75m),1,5200.00,5200.00
ORD-240822-39232,Longspan RIB22,14ft (0.4mm),1,620.00,620.00
ORD-240822-39232,White Sand,,6,48.00,288.00
ORD-240822-94293,Novtek Concrete Sealer 4 Liters,,3,480.00,1440.00
ORD-240822-94293,Coco Lumber,2x4x10 (Per Piece),3,120.00,360.00
ORD-240822-94293,Marine Plywood Local,1/4 (4x8ft),1,380.00,380.00
ORD-240823-00186,Angle Bar,"2"" x 2"" x 3mm (20ft)",1,1100.00,1100.00
ORD-240823-00186,Longspan RIB22,12ft (0.4mm),3,531.00,1593.00
ORD-240823-00186,Royu THHN Wire 8.0mm,Red (Per Box 75m),1,5200.00,5200.00
ORD-240823-00186,Coco Lumber,2x4x10 (Per Piece),2,120.00,240.00
ORD-240823-00186,C-Purlins GI,"2"" x 4"" x 6m (1.5mm)",2,650.00,1300.00
ORD-240824-41396,KD S4S Wood PL,1x2 per Board Foot,10,72.00,720.00
ORD-240824-41396,Tox,#8 Tox (Per Box),4,48.00,192.00
ORD-240824-41396,W-Clip,,24,2.00,48.00
ORD-240824-41396,Neltex PVC Sanitary P-Trap,"3""",3,145.00,435.00
ORD-240824-66092,Tekscrew,"2"" (Per Piece)",20,3.00,60.00
ORD-240824-24535,Coco Lumber,2x3x10 (Per Piece),2,90.00,180.00
ORD-240824-79446,Angle Bar,"1.5"" x 1.5"" x 2mm (20ft)",1,530.00,530.00
ORD-240824-79446,Black Screw Pointed,"2"" (Per Box 500pcs)",1,290.00,290.00
ORD-240824-79446,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240825-70185,Common Wire Nail,"1.5"" (Per Kilo)",10,62.00,620.00
ORD-240825-70185,Longspan RIB22,12ft (0.5mm),2,722.00,1444.00
ORD-240825-70185,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",5,32.00,160.00
ORD-240826-17651,Adjustable Hacksaw,,6,130.00,780.00
ORD-240826-64436,Circuit Breaker Bolt-On,60A,3,378.00,1134.00
ORD-240826-64436,G.I Pipe Local S20,"2"" (20ft)",2,940.00,1880.00
ORD-240826-64436,Tekscrew,"3"" (Per Piece)",100,4.00,400.00
ORD-240826-64436,Neltex Sanitary PVC Pipe S600,"4"" x 3m",3,608.00,1824.00
ORD-240826-96903,Longspan RIB22,16ft (0.4mm),2,708.00,1416.00
ORD-240826-70941,Concrete Hollow Block,"4"" CHB (Per Piece)",19,12.00,228.00
ORD-240826-23137,Longspan RIB22,8ft (0.4mm),1,354.00,354.00
ORD-240826-23137,Phenolic Board 1/2 Croco,,2,620.00,1240.00
ORD-240826-79925,Republic Cement,,1,255.00,255.00
ORD-240826-79925,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",9,32.00,288.00
ORD-240827-15743,Coco Lumber,2x2x8 (Per Piece),7,48.00,336.00
ORD-240827-15743,Neltex Electrical Pipe Thinwall,"1"" Per Piece",5,68.00,340.00
ORD-240827-15743,Tekscrew,"1"" (Per Piece)",26,2.00,52.00
ORD-240827-05704,Phenolic Board 18mm,,3,780.00,2340.00
ORD-240827-05704,Neltex PPR PVC Pipe,"1/2"" x 3m",5,109.00,545.00
ORD-240827-05704,Tekscrew,"1.5"" (Per Piece)",99,2.50,247.50
ORD-240827-71527,Wood Screw Flat Head,"1"" (Per Kilo)",5,180.00,900.00
ORD-240827-71527,Boysen Permacoat Flat Latex White,16 Liters (1 Pail),1,2850.00,2850.00
ORD-240828-67881,Circuit Breaker Bolt-On,15A,2,258.00,516.00
ORD-240828-67881,Royu THHN Wire 8.0mm,Green (Per Box 75m),1,5200.00,5200.00
ORD-240828-00712,Black Screw Metal,"2"" (Per Box 500pcs)",3,310.00,930.00
ORD-240828-00712,Tekscrew,"2"" (Per Piece)",63,3.00,189.00
ORD-240829-68021,"Hardiflex Screw 1""",,32,2.50,80.00
ORD-240829-68021,G.I Pipe Local S20,"1/2"" (20ft)",2,245.00,490.00
ORD-240829-68021,Royu THHN Wire 8.0mm,Red (Per Box 75m),1,5200.00,5200.00
ORD-240829-46479,Neltex Sanitary PVC Pipe S600,"4"" x 3m",2,608.00,1216.00
ORD-240829-46479,Tox,#8 Tox (Per Box),10,48.00,480.00
ORD-240829-46479,Lucky PPR Elbow Female 1/2,,4,29.00,116.00
ORD-240829-89417,Novtek Concrete Sealer 4 Liters,,1,480.00,480.00
ORD-240829-89417,Longspan RIB22,14ft (0.4mm),3,620.00,1860.00
ORD-240830-58400,Tox,#12 Tox (Per Box),3,85.00,255.00
ORD-240830-58400,W-Clip,,11,2.00,22.00
ORD-240830-58400,Coco Lumber,2x2x12 (Per Piece),4,72.00,288.00
ORD-240830-58400,C-Purlins GI,"2"" x 4"" x 6m (1.0mm)",1,410.00,410.00
ORD-240830-58400,Tekscrew,"3"" (Per Piece)",20,4.00,80.00
ORD-240830-50589,Longspan RIB22,14ft (0.4mm),3,620.00,1860.00
ORD-240830-57954,Longspan RIB22,12ft (0.4mm),2,531.00,1062.00
ORD-240830-57954,Royu THHN Wire 8.0mm,Red (Per Box 75m),1,5200.00,5200.00
ORD-240831-55462,G.I Pipe Local S20,"2"" (20ft)",1,940.00,940.00
ORD-240831-55462,Republic Cement,,5,255.00,1275.00
ORD-240831-55462,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240901-62003,W-Clip,,100,2.00,200.00
ORD-240901-62003,Royu THHN Wire 8.0mm,Green (Per Box 75m),1,5200.00,5200.00
ORD-240902-97362,W-Clip,,24,2.00,48.00
ORD-240902-97362,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",4,32.00,128.00
ORD-240902-92397,Neltex PVC Sanitary P-Trap,"4""",6,225.00,1350.00
ORD-240902-92397,"Hardiflex Screw 1""",,83,2.50,207.50
ORD-240902-92397,Common Wire Nail,"4"" (Per Kilo)",4,56.00,224.00
ORD-240902-47230,G.I Pipe Local S20,"3/4"" (20ft)",2,320.00,640.00
ORD-240902-47230,Neltex PVC Sanitary P-Trap,"2""",4,85.00,340.00
ORD-240902-47230,KD S4S Wood PL,2x3 per Board Foot,4,72.00,288.00
ORD-240902-47230,C-Purlins GI,"2"" x 3"" x 6m (1.0mm)",3,380.00,1140.00
ORD-240902-12776,Tekscrew,"3"" (Per Piece)",90,4.00,360.00
ORD-240902-12776,Tekscrew,"1"" (Per Piece)",57,2.00,114.00
ORD-240902-12776,Coco Lumber,2x2x8 (Per Piece),5,48.00,240.00
ORD-240902-42648,Coco Lumber,2x2x8 (Per Piece),10,48.00,480.00
ORD-240902-42648,GI Wire #16,,8,85.00,680.00
ORD-240902-42648,C-Purlins GI,"2"" x 4"" x 6m (1.0mm)",2,410.00,820.00
ORD-240902-42648,Tekscrew,"3"" (Per Piece)",31,4.00,124.00
ORD-240902-42648,Longspan RIB22,10ft (0.4mm),2,443.00,886.00
ORD-240903-98297,Boysen Lacquer Thinner B50,4 Liters,2,875.00,1750.00
ORD-240903-98297,Longspan RIB22,16ft (0.4mm),3,708.00,2124.00
ORD-240903-09963,White Sand,,7,48.00,336.00
ORD-240903-09963,Tekscrew,"1.5"" (Per Piece)",36,2.50,90.00
ORD-240903-09963,Tekscrew,"3"" (Per Piece)",46,4.00,184.00
ORD-240903-09963,Boysen Permacoat Flat Latex White,16 Liters (1 Pail),1,2850.00,2850.00
ORD-240904-51016,Concrete Nail,"3"" (Per Kilo)",1,118.00,118.00
ORD-240904-51016,Longspan RIB22,10ft (0.4mm),2,443.00,886.00
ORD-240904-51016,W-Clip,,24,2.00,48.00
ORD-240904-36050,Longspan RIB22,10ft (0.5mm),3,602.00,1806.00
ORD-240904-36050,Black Screw Pointed,"1"" (Per Box 500pcs)",3,210.00,630.00
ORD-240904-36050,Lucky PPR Elbow Female 1/2,,3,29.00,87.00
ORD-240904-36050,White Sand,,4,48.00,192.00
ORD-240904-36050,Deformed Bar G40,20mm x 6m,3,458.00,1374.00
ORD-240905-05538,Phenolic Board 18mm,,2,780.00,1560.00
ORD-240905-05538,Concrete Hollow Block,"4"" CHB (Per Piece)",23,12.00,276.00
ORD-240905-84149,Deformed Bar G40,10mm x 6m,1,115.00,115.00
ORD-240905-21559,W-Clip,,41,2.00,82.00
ORD-240905-21559,Metal Furring,25 x 50 (10ft),8,93.00,744.00
ORD-240905-21559,Deformed Bar G33,12mm x 6m,4,130.00,520.00
ORD-240905-54001,Lucky PPR Elbow Female 1/2,,13,29.00,377.00
ORD-240905-54001,Neltex Sanitary PVC Pipe S600,"4"" x 3m",1,608.00,608.00
ORD-240906-06237,Angle Bar,"1.5"" x 1.5"" x 2mm (20ft)",1,530.00,530.00
ORD-240906-06237,Angle Bar,"3/4"" x 3/4"" x 2mm (20ft)",3,300.00,900.00
ORD-240906-29340,Tekscrew,"1"" (Per Piece)",80,2.00,160.00
ORD-240906-29340,Tekscrew,"2.5"" (Per Piece)",95,3.50,332.50
ORD-240906-37289,Longspan RIB22,16ft (0.4mm),3,708.00,2124.00
ORD-240906-37289,Neltex PPR PVC Pipe,"1"" x 3m",4,289.00,1156.00
ORD-240906-24247,Nihonweld Welding Rod N6013,"5/32"" (4.0mm) per kg",2,175.00,350.00
ORD-240906-23947,Tekscrew,"1"" (Per Piece)",44,2.00,88.00
ORD-240906-23947,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240906-23947,Royu THHN Wire 8.0mm,White (Per Box 75m),1,5200.00,5200.00
ORD-240907-84422,Camel Drawer Lock,,5,85.00,425.00
ORD-240907-84422,Concrete Hollow Block,"4"" CHB (Per Piece)",21,12.00,252.00
ORD-240907-84422,White Sand,,7,48.00,336.00
ORD-240907-11187,Boysen Permacoat Flat Latex White,16 Liters (1 Pail),1,2850.00,2850.00
ORD-240908-30101,White Sand,,5,48.00,240.00
ORD-240908-30101,Concrete Hollow Block,"6"" CHB (Per Piece)",7,16.00,112.00
ORD-240908-30101,Angle Bar,"1"" x 1"" x 2mm (20ft)",3,360.00,1080.00
ORD-240909-17618,Neltex Sanitary PVC Pipe S600,"2"" x 3m",2,268.00,536.00
ORD-240909-17618,Metal Furring,25 x 50 (10ft),12,93.00,1116.00
ORD-240909-17618,Concrete Nail,"3"" (Per Kilo)",5,118.00,590.00
